board_size,steps_taken,solved
6,202,yes
6,7,yes
6,8,yes
6,26109,yes
6,115,yes
6,10,yes
6,100002,no
6,363,yes
6,639,yes
6,6,yes
6,8,yes
6,100002,no
6,11,yes
6,581,yes
6,175,yes
6,5059,yes
6,10,yes
6,3268,yes
6,11,yes
6,9,yes
8,12,yes
8,100002,no
8,13,yes
8,100002,no
8,100002,no
8,100002,no
8,100002,no
8,100002,no
8,10,yes
8,28164,yes
8,100002,no
8,100002,no
8,15,yes
8,100002,no
8,100002,no
8,13,yes
8,100002,no
8,8,yes
8,12,yes
8,11,yes
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
