board_size,steps_taken,solved
6,9,yes
6,9,yes
6,6,yes
6,9,yes
6,1241,yes
6,37,yes
6,9,yes
6,8,yes
6,8,yes
6,6,yes
6,8,yes
6,427,yes
6,10,yes
6,1255,yes
6,7,yes
6,11,yes
6,11,yes
6,10,yes
6,8,yes
6,11,yes
8,12,yes
8,471,yes
8,29,yes
8,19,yes
8,34720,yes
8,13,yes
8,881,yes
8,60774,no
8,11,yes
8,32164,yes
8,18,yes
8,100002,no
8,100002,no
8,10,yes
8,11,yes
8,13,yes
8,100002,no
8,9,yes
8,12,yes
8,13,yes
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,225,yes
10,28465,yes
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,26128,yes
10,100002,no
10,100002,no
10,25036,yes
10,100002,no
