board_size,steps_taken,solved
6,9,yes
6,8,yes
6,6,yes
6,9,yes
6,9,yes
6,8,yes
6,26,yes
6,8,yes
6,6,yes
6,6,yes
6,8,yes
6,16,yes
6,10,yes
6,10,yes
6,6,yes
6,11,yes
6,10,yes
6,3257,yes
6,8,yes
6,7,yes
8,11,yes
8,13,yes
8,143,yes
8,20,yes
8,15,yes
8,20,yes
8,20,yes
8,17,yes
8,11,yes
8,153,yes
8,20,yes
8,4109,yes
8,17,yes
8,10,yes
8,11,yes
8,13,yes
8,100002,no
8,9,yes
8,12,yes
8,12,yes
10,26,yes
10,398,yes
10,100002,no
10,100002,no
10,24,yes
10,100002,no
10,100002,no
10,100002,no
10,23,yes
10,25,yes
10,100002,no
10,17,yes
10,100002,no
10,20,yes
10,23,yes
10,2545,yes
10,16,yes
10,100002,no
10,83,yes
10,100002,no
