board_size,steps_taken,solved
6,9,yes
6,9,yes
6,7,yes
6,9,yes
6,8,yes
6,10,yes
6,10,yes
6,6,yes
6,6,yes
6,5,yes
6,9,yes
6,100002,no
6,11,yes
6,13,yes
6,6,yes
6,110,yes
6,11,yes
6,15,yes
6,9,yes
6,11,yes
8,403,yes
8,2427,yes
8,100002,no
8,19,yes
8,16,yes
8,100002,no
8,15,yes
8,100002,no
8,100002,no
8,3199,yes
8,100002,no
8,100002,no
8,15,yes
8,11,yes
8,11,yes
8,11,yes
8,100002,no
8,9,yes
8,12,yes
8,12,yes
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,18,yes
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,100002,no
10,23,yes
10,100002,no
10,100002,no
