board_size,steps_taken,solved
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,5,yes
6,4,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
8,3,yes
8,0,yes
8,4,yes
8,0,yes
8,0,yes
8,2,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,1,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,2,yes
8,0,yes
8,0,yes
8,0,yes
10,0,yes
10,4,yes
10,0,yes
10,2,yes
10,2,yes
10,1401,no
10,1401,no
10,2,yes
10,2,yes
10,0,yes
10,3,yes
10,0,yes
10,2,yes
10,0,yes
10,0,yes
10,0,yes
10,0,yes
10,1401,no
10,3,yes
10,2,yes
