board_size,steps_taken,solved
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,1401,no
6,1401,no
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
8,1401,no
8,0,yes
8,1401,no
8,0,yes
8,0,yes
8,1401,no
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,1401,no
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,1401,no
8,0,yes
8,0,yes
8,0,yes
10,0,yes
10,1401,no
10,0,yes
10,1401,no
10,1401,no
10,1401,no
10,2,yes
10,10,yes
10,1401,no
10,0,yes
10,1401,no
10,0,yes
10,1401,no
10,0,yes
10,0,yes
10,0,yes
10,0,yes
10,1,yes
10,1401,no
10,1401,no
