board_size,steps_taken,solved
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,2,yes
6,3,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
8,6,yes
8,0,yes
8,7,yes
8,0,yes
8,0,yes
8,2,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,1401,no
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,9,yes
8,0,yes
8,0,yes
8,0,yes
10,0,yes
10,1401,no
10,0,yes
10,4,yes
10,6,yes
10,1401,no
10,2,yes
10,10,yes
10,10,yes
10,0,yes
10,8,yes
10,0,yes
10,1401,no
10,0,yes
10,0,yes
10,0,yes
10,0,yes
10,1401,no
10,14,yes
10,1401,no
