board_size,steps_taken,solved
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,5,yes
6,3,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
6,0,yes
8,5,yes
8,0,yes
8,5,yes
8,0,yes
8,0,yes
8,3,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,12,yes
8,0,yes
8,0,yes
8,0,yes
8,0,yes
8,9,yes
8,0,yes
8,0,yes
8,0,yes
10,0,yes
10,10,yes
10,0,yes
10,4,yes
10,6,yes
10,12,yes
10,3,yes
10,10,yes
10,11,yes
10,0,yes
10,14,yes
10,0,yes
10,13,yes
10,0,yes
10,0,yes
10,0,yes
10,0,yes
10,8,yes
10,19,yes
10,12,yes
